Listed In,INDEX(),Distinct count of Show Id
"Dramas, International Movies",1,362
Documentaries,2,359
Stand-Up Comedy,3,334
"Comedies, Dramas, International Movies",4,274
"Dramas, Independent Movies, International Movies",5,252
Kids' TV,6,220
Children & Family Movies,7,215
"Children & Family Movies, Comedies",8,201
